cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID,stars,year,month,weekday,hour,comment_len,anger,disgust,fear,sadness,joy,total_emotion_words,coverage,valence,label,dominant_emotion,unique_total_emotion_words,unique_coverage,polarity,unique_count_anger,unique_count_disgust,unique_count_fear,unique_count_sadness,unique_count_joy
Adira,2018-09-21 00:17:00,sml-str20,逛 上下 九 好多 都 推荐 南信 牛奶 甜品 专家 兴致勃勃 的 找 来 有 心理准备 网红店 人 多 也 认 了 不 容易 在 二楼 找到 位置 圆桌 基本 都 拼 桌点 了 推荐 菜牛 三星 汤 杨枝 甘露 鲜虾 云吞 双皮奶 杨枝 甘露 和 双皮奶 吃 起来 和 满记 那些 差不多 不功 不过 吧 鲜虾 云吞 因为 饿 了 觉得 还 不错 吃 完 了 牛 三星 汤 巨坑 吃 不惯 太腥 了 尝 了 一口 就 剩下 了 真的 不 懂 好吃 的 点 在 哪里 很 普通 的 店 菜品 倒 是 多 味道 普通人 多 服务 也 跟不上 上菜 巨慢 环境 也 拥挤 不 推荐,一般,一般,一般,518986,2.0,2018,9,4,0,273,0.0,0.0,0.0,0.2,0.8,5,1,0.6000000000000001,positive,joy,5,1,positive,0,0,0,1,4
艾丽水爱美食,2018-08-28 14:04:00,sml-str10,南信 是 老牌 糖水 店 出品 虽然 无功 无过 但是 服务 实在 是 欠佳 点单 一碗 姜撞奶 分别 催 单次 服务员 直接 回复 继续 等 要 依次 排单 通常 是 等 分钟 终于 上来 甜品 邻座 点单 的 双皮奶 也 同时 上来 不是 说 要 依次 排单 吗 如果 通常 要 等 分钟 建议 时间 紧张 的 朋友 可以 去 西关 其他 甜品店 毕竟 西关 很多 甜品店 都 比南信 好 另外 独自一人 就餐 的 同学 需要 既 占 座 又 要 先 提前 去 柜台 买单 因为 南信 需要 桌号 才能 点 单人 多 的 时候 等 你 排 完队 回到 原本 的 位子 往往 已经 被 其他 客人 占 了 对 了 南信 只 收 现金 各种 移动 支付 都 不 支持 决定 要来 的 朋友 建议 和 朋友 同 来 准备 现金 和 充裕 的 时间,一般,一般,差,518986,1.0,2018,8,1,14,357,0.0,0.0,0.0,0.0,1.0,2,1,1.0,positive,joy,2,1,positive,0,0,0,0,2
丁小丁_4895,2018-08-26 01:45:00,sml-str20,在 上下 九逛 着 逛 着 就 看到 了 南信 店里 人 超级 多 服务员 对 我们 自己 找 位子 坐 基本 都 是 需要 跟 别人 拼桌 的 菜单 就 在 桌子 上 自己 看看 好 了 自己 去 收银台 点餐 收 现金 哟 然后 很快 就 上桌 了 我们 点 了 双皮奶 凤凰 奶糊 姜撞奶 后来 发现 我们 两个 点 了 三样 两样 是 热 的 对于 逛 了 一圈 上下 九热 的 要死 的 我们 真的 是 双皮奶 据说 很 有名 的 口感 很 醇厚 但是 我 还是 觉得 太 甜腻 了 姜撞奶 怎么 不是 当场 把 奶 加进去 的 呀 朋友 吃 不惯 姜 的 味道 我 感觉 还行 吧 还是 会 有点 甜 朋友 觉得 凤凰 奶糊 最 好吃 其他 东西 我们 没点 看到 同桌 的 人点 的 云吞面 好像 也 不错 的 样子 哈哈 也 算是 打卡 了,好,一般,一般,518986,2.0,2018,8,6,1,325,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,6,1,0.6666666666666667,positive,joy,6,1,positive,0,0,0,1,5
十一小少爷,2018-08-18 17:04:00,sml-str20,双皮奶 有点 厚 有点 甜 但是 是 打卡 地牛 三星 汤 不 喜欢 如果 没有 这个 应该 是 满意 腥味 好重 总 觉得 食材 没 处理 很 到位 杨枝 甘露 好味量 多 不酸 四星 环境 晚上 八点 多人 不是 很多 店里 有点 乱 地面 不是 很 干净 装修 还是 很早 之前 的 明显 的 老店 感觉 服务 最多 给 到 两星 啦 这么 点 东西 等 了 差不多 分钟 催 了 三次 有 明明 不是 很 忙 服务员 叫 了 都 不应 最后 一次 有点 发火 了 都 这些 甜品 大多 情况 都 是 做好 的 呀 难道 还 现冻 吗 只 一碗 早熬 好 的 汤 需要 那么 久,好,一般,差,518986,2.0,2018,8,5,17,292,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,6,1,0.6666666666666667,positive,joy,6,1,positive,1,0,0,0,5
炙糕担,2018-08-06 10:06:00,sml-str20,人 真的 太多 了 对 服务 是 满意 的 毕竟 这么 多人能 做到 这个 程度 已经 很 好 了 我 觉得 没 必要 来 另外 找个 在 本地人 里 受欢迎 的 糖水 铺 比较 好 双皮奶 没有 冰 的 了 只有 热 的 很 浓郁 厚重 热 的 对 我 来说 过甜 一点 杨枝 甘露 这个 也 一般 跟 在 其他 地方 吃 到 的 没什么 两样 椰汁 龟苓膏 龟苓膏 是 真的 苦后 味 很 苦 这个 感觉 做 的 不错 应该 点个 加蜜 的,一般,一般,很好,518986,2.0,2018,8,0,10,223,0.0,0.0,0.0,0.0,1.0,4,1,1.0,positive,joy,4,1,positive,0,0,0,0,4
lovely小芳,2018-07-30 01:00:00,sml-str10,很多年 前 就 吃 过 南信 的 不少 出品 以前 一直 对南信 也 算是 百般 认可 都 觉得 出品 很 好吃 尤其 吃 过 很 多次 这里 双皮奶 虽然 知道 有点 贵 但是 毕竟 觉得 南信 老字号 嘛 但是 今天 来 吃 却 大 大大的 失望 问 红豆 双皮奶 要 冷 的 说 只有 热 的 问 还有 没有 其他 是 有 冷 的 收银 说 红豆 椰汁 双皮奶 是 冰 的 于是 我要 了 一碗 红豆 椰汁 双皮奶 和 香芒 红豆 仙草 捞加 起来 元 红豆 椰汁 双皮奶 奶味 不 浓 入口 也 没有 椰香 双皮奶 吃不出 奶皮 并且 吃 多 很 腻 而且 不冰大 夏天 吃 的 更是 不爽 香芒 红豆 仙草 捞 不冰 接近 常温 口味 太甜 非常 甜甜 到 慌 仙草 没 口感 芒果 不甜 不酸,差,差,差,518986,1.0,2018,7,0,1,318,0.2,0.0,0.0,0.2,0.6,5,1,0.19999999999999996,positive,joy,5,1,positive,1,0,0,1,3
aaronliu,2018-07-25 19:27:00,sml-str10,名气 巨大 人 居多 口感 巨差 双皮奶 没皮 齁 甜 姜汁 撞奶 齁 甜 这 两样 孩子 尝 了 一口 就 不吃 了 唉 杨枝 甘露 和 芒果 糯米 味道 一般 总体 来说 这家 店 如同 天津 的 狗不理 无锡 的 王兴记 厦门 的 黄则 和 被 自己 玩坏 了,差,差,差,518986,1.0,2018,7,2,19,169,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3,1,0.3333333333333333,positive,joy,3,1,positive,0,0,0,1,2
阿拉伯联合酋长国的网友,2018-07-22 00:43:00,sml-str20,南信 的 招牌 广东 的 美食 不止 是 小吃 你 就 把 大 吃 算进去 久而久之 吃 起来 不腻 的 还 能 吃 几十年 甚至 更 长久 的 就是 双皮奶 了 现在 很多 人 模仿 双皮奶 早 十几年 前 就 有 北方 的 把 它 搬 到 北京 甚至 三元 也 在 做 但 仍 是 东施效颦 为什么 因为 最 关键 的 一道 原料 不 对 必须 用水 牛奶 这是 绝大多数 人 根本 就 不 知道 的 也 无法 做到 的 就是 服务水平 越来越 不好 人浮于事 全 社会 都 混,好,一般,差,518986,2.0,2018,7,6,0,235,0.0,0.0,0.0,0.0,1.0,1,1,1.0,positive,joy,1,1,positive,0,0,0,0,1
子园菜菜,2018-07-10 20:25:00,sml-str20,这家 店 是 网上 炒 的 很 红 的 一家 店 吃 了 他们 的 姜撞奶 没有 传说 中 的 那么 好吃 马蹄 爽 还 可以 吃口 比较 干净 环境 很差 上 甜品 的 速度 也 很慢 店里 全是 游客 无边无际 的 游客 感觉 性质 就 像 上海南京路 上 的 鲜肉 月饼 一样 骗骗 外地人 还 行 本地人 去 吃 的 不 多,好,差,好,518986,2.0,2018,7,1,20,179,0.0,0.0,0.0,0.0,1.0,4,1,1.0,positive,joy,4,1,positive,0,0,0,0,4
Tk,2018-05-03 15:56:00,sml-str20,五一 假期 期间 去 的 慕名而来 但是 人 实在 太多太多 了 质量 应该 比 平时 下降 很多 毕竟 我 也 是 第一次 吃 环境 一行 人 分开 坐 没有 完整 的 分号 流程 真的 希望 店家 可以 改 一下 你 已经 是 一个 老店 和 网红店 了 两层楼 都 爆满 进去 的 客人 只能 等 店员 安排 在 每张 桌子 上边 上 站 着 等 看着 吃 着 的 人 也 挺 心烦 的 也 是 一直 被 别人 盯 着 还 偶尔 有人 问 你 还要 多久 坐在 靠近 里面 厨房 门口 厨余 和 吃剩 的 都 倒 在 厨房 门口 的 垃圾桶 也 在 店 内 坐在 附近 味道 不小 可能 人太多 空气 也 不 流通 吧 双皮奶 虽说 下单 要 冰 的 只能 说 不 热 了 冰箱 来不及 冻 吧 味道 还 可以 但是 真的 这 天气 这么 多人 期待 冰 的 东西 期待 还 没 上 的 仙草 冰 椰汁 红豆 仙草 冰 两三颗 尾 指头 大小 的 冰块 第一口 底下 还 不冰 没 几分钟 冰 都 看不见 了 尴尬 杨枝 甘露 味道 可以 不冷 总体 就是 味道 肯定 可以 的 服务 能 跟上 就 好 节假日 太多人 建议 平时 人少 去 才能 吃 出 真 滋味,好,差,一般,518986,2.0,2018,5,3,15,444,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143,7,1,0.4285714285714286,positive,joy,7,1,positive,0,1,0,1,5
